ADM0_NAME,ADM1_NAME,ADM2_NAME,Income_Category,Income_SubCategory,Income_Month,Income_Year,IncomeValue,Indicator_Type,Income_DataSource
Armenia,Aragatsotn,,Agro - Food&Cash Crop,0,8,2009,33.59216197,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Asset Sales/Savings/Credit,0,8,2009,0.301407681,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Commerce - Business/Trading,0,8,2009,3.810975935,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Labor - Artisan/Skilled,0,8,2009,9.058316068,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Labor - Daily/Unskilled - Mixed,0,8,2009,10.47505425,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Labor - Salary/Regular,0,8,2009,22.91369456,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Non-Wage - Pension/Benefit,0,8,2009,16.84305333,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Non-Wage - Remittance/Fam. Aid,0,8,2009,2.852965355,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Other,0,8,2009,0.152370849,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Agro - Food&Cash Crop,0,8,2009,34.27787329,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Asset Sales/Savings/Credit,0,8,2009,1.23621851,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Commerce - Business/Trading,0,8,2009,7.101223235,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Labor - Artisan/Skilled,0,8,2009,4.327528112,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Labor - Daily/Unskilled - Mixed,0,8,2009,3.547226403,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Labor - Salary/Regular,0,8,2009,25.23504267,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Non-Wage - Pension/Benefit,0,8,2009,15.33277419,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Non-Wage - Remittance/Fam. Aid,0,8,2009,8.942113599,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Agro - Food&Cash Crop,0,8,2009,17.83504636,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Asset Sales/Savings/Credit,0,8,2009,20.48680017,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Commerce - Business/Trading,0,8,2009,3.127813686,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Labor - Artisan/Skilled,0,8,2009,7.703667022,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Labor - Daily/Unskilled - Mixed,0,8,2009,5.316991132,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Labor - Salary/Regular,0,8,2009,23.96178625,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Non-Wage - Pension/Benefit,0,8,2009,17.08268494,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Non-Wage - Remittance/Fam. Aid,0,8,2009,3.993457112,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Other,0,8,2009,0.491753324,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Agro - Food&Cash Crop,0,8,2009,8.733795644,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Asset Sales/Savings/Credit,0,8,2009,13.35671058,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Commerce - Business/Trading,0,8,2009,2.115473081,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Labor - Artisan/Skilled,0,8,2009,7.883808162,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Labor - Daily/Unskilled - Mixed,0,8,2009,6.695094688,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Labor - Salary/Regular,0,8,2009,25.12174127,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Non-Wage - Pension/Benefit,0,8,2009,16.3935033,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Non-Wage - Remittance/Fam. Aid,0,8,2009,18.91591433,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Other,0,8,2009,0.783958939,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Agro - Food&Cash Crop,0,8,2009,7.818462465,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Asset Sales/Savings/Credit,0,8,2009,4.978975873,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Commerce - Business/Trading,0,8,2009,4.187964744,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Labor - Artisan/Skilled,0,8,2009,9.235880952,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Labor - Daily/Unskilled - Mixed,0,8,2009,6.413803271,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Labor - Salary/Regular,0,8,2009,38.55180089,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Non-Wage - Pension/Benefit,0,8,2009,21.53318337,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Non-Wage - Remittance/Fam. Aid,0,8,2009,6.904829793,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Kotayk,,Other,0,8,2009,0.375098649,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Agro - Food&Cash Crop,0,8,2009,14.39054987,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Asset Sales/Savings/Credit,0,8,2009,4.492299777,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Commerce - Business/Trading,0,8,2009,0.589774789,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Labor - Artisan/Skilled,0,8,2009,2.006528993,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Labor - Daily/Unskilled - Mixed,0,8,2009,3.895579043,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Labor - Salary/Regular,0,8,2009,20.11827697,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Non-Wage - Pension/Benefit,0,8,2009,32.12469155,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Lori,,Non-Wage - Remittance/Fam. Aid,0,8,2009,22.38229901,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Agro - Food&Cash Crop,0,8,2009,16.46551873,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Asset Sales/Savings/Credit,0,8,2009,5.360671208,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Commerce - Business/Trading,0,8,2009,1.725320208,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Labor - Artisan/Skilled,0,8,2009,3.938380046,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Labor - Daily/Unskilled - Mixed,0,8,2009,5.324013827,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Labor - Salary/Regular,0,8,2009,24.92440982,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Non-Wage - Pension/Benefit,0,8,2009,25.46766668,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Non-Wage - Remittance/Fam. Aid,0,8,2009,14.66207323,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Shirak,,Other,0,8,2009,2.131946252,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Agro - Food&Cash Crop,0,8,2009,14.80519142,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Commerce - Business/Trading,0,8,2009,6.463812219,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Labor - Artisan/Skilled,0,8,2009,2.356682281,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Labor - Daily/Unskilled - Mixed,0,8,2009,3.519944521,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Labor - Salary/Regular,0,8,2009,43.97993998,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Non-Wage - Pension/Benefit,0,8,2009,23.11104568,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Non-Wage - Remittance/Fam. Aid,0,8,2009,4.134860061,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Syunik,,Other,0,8,2009,1.628523842,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Tavush,,Agro - Food&Cash Crop,0,8,2009,9.903171162,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Tavush,,Asset Sales/Savings/Credit,0,8,2009,0.617456897,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Tavush,,Commerce - Business/Trading,0,8,2009,10.63121682,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Tavush,,Labor - Artisan/Skilled,0,8,2009,1.723536288,Baseline,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
